Business,Address,Annual Consumption,Unit,City,Province,Country,Year
120 FALTON DR NE HOUSING,120 FALTON DR NE,14,GJ,Calgary,Alberta,Canada,2018
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,28,GJ,Calgary,Alberta,Canada,2018
1215 17 AV NW HOUSING,1215 17 AV NW,100,GJ,Calgary,Alberta,Canada,2018
121 FALTON DR NE HOUSING,121 FALTON DR NE,13,GJ,Calgary,Alberta,Canada,2018
1239 17 AV NW HOUSING,1239 17 AV NW,111,GJ,Calgary,Alberta,Canada,2018
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,16,GJ,Calgary,Alberta,Canada,2018
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,13,GJ,Calgary,Alberta,Canada,2018
123 FALTON DR NE HOUSING,123 FALTON DR NE,9,GJ,Calgary,Alberta,Canada,2018
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,36,GJ,Calgary,Alberta,Canada,2018
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,17,GJ,Calgary,Alberta,Canada,2018
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,16,GJ,Calgary,Alberta,Canada,2018
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,14,GJ,Calgary,Alberta,Canada,2018
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,13,GJ,Calgary,Alberta,Canada,2018
1327 36 ST SE HOUSING,1327 36 ST SE,25,GJ,Calgary,Alberta,Canada,2018
132 FALTON DR NE HOUSING,132 FALTON DR NE,13,GJ,Calgary,Alberta,Canada,2018
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,16,GJ,Calgary,Alberta,Canada,2018
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,33,GJ,Calgary,Alberta,Canada,2018
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,18,GJ,Calgary,Alberta,Canada,2018
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,19,GJ,Calgary,Alberta,Canada,2018
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,19,GJ,Calgary,Alberta,Canada,2018
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,19,GJ,Calgary,Alberta,Canada,2018
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,26,GJ,Calgary,Alberta,Canada,2018
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,20,GJ,Calgary,Alberta,Canada,2018
140 FALTON CL NE HOUSING,140 FALTON CL NE,13,GJ,Calgary,Alberta,Canada,2018
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,20,GJ,Calgary,Alberta,Canada,2018
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,58,GJ,Calgary,Alberta,Canada,2018
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,23,GJ,Calgary,Alberta,Canada,2018
144 FALTON CL NE HOUSING,144 FALTON CL NE,12,GJ,Calgary,Alberta,Canada,2018
1451 21 AV SW HOUSING,1451 21 AV SW,487,GJ,Calgary,Alberta,Canada,2018
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,27,GJ,Calgary,Alberta,Canada,2018
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,14,GJ,Calgary,Alberta,Canada,2018
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,28,GJ,Calgary,Alberta,Canada,2018
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,28,GJ,Calgary,Alberta,Canada,2018
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,40,GJ,Calgary,Alberta,Canada,2018
160 FALTON DR NE HOUSING,160 FALTON DR NE,19,GJ,Calgary,Alberta,Canada,2018
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,82,GJ,Calgary,Alberta,Canada,2018
1620 12 AV SW HOUSING,1620 12 AV SW,250,GJ,Calgary,Alberta,Canada,2018
167 & 169 FALTON DR NE HOUSING,167 FALTON DR NE,28,GJ,Calgary,Alberta,Canada,2018
171 & 173 FALTON DR NE HOUSING,171 FALTON DR NE,24,GJ,Calgary,Alberta,Canada,2018
1712 35 ST SE HOUSING,1712 35 ST SE,161,GJ,Calgary,Alberta,Canada,2018
171 ERIN MOUNT CR SE HOUSING,171 ERIN MOUNT CR SE,13,GJ,Calgary,Alberta,Canada,2018
1733 28 AV SW HOUSING,1733 28 AV SW,187,GJ,Calgary,Alberta,Canada,2018
173 ERIN RIDGE RD SE HOUSING,173 ERIN RIDGE RD SE,22,GJ,Calgary,Alberta,Canada,2018
175 & 177 FALTON DR NE HOUSING,175 FALTON DR NE,25,GJ,Calgary,Alberta,Canada,2018
#1-7 7000 RANCHERO RD NW HOUSING,20 CASTLEGLEN RD NE,83,GJ,Calgary,Alberta,Canada,2018
18 & 20 CASTLEGLEN RD NE HOUSING,182 TEMPLEGREEN DR NE,28,GJ,Calgary,Alberta,Canada,2018
182 & 184 TEMPLEGREEN DR NE HOUSING,1827 16A ST SW,28,GJ,Calgary,Alberta,Canada,2018
1827 16A ST SW HOUSING,183 CEDARDALE RD SW,271,GJ,Calgary,Alberta,Canada,2018
183 & 185 CEDARDALE RD SW HOUSING,11 1840 RANCHLANDS WY NW,29,GJ,Calgary,Alberta,Canada,2018
1840 RANCHLANDS WY NW HOUSING,187 FALSHIRE DR NE,157,GJ,Calgary,Alberta,Canada,2018
187 FALSHIRE DR NE HOUSING,187 FALTON WY NE,12,GJ,Calgary,Alberta,Canada,2018
187 FALTON WY NE HOUSING,189 FALSHIRE DR NE,11,GJ,Calgary,Alberta,Canada,2018
189 FALSHIRE DR NE HOUSING,18 RADCLIFFE CR SE,14,GJ,Calgary,Alberta,Canada,2018
18 RADCLIFFE CR SE HOUSING,1918 8 AV SE,64,GJ,Calgary,Alberta,Canada,2018
1918 8 AV SE HOUSING,1920 29 ST SW,47,GJ,Calgary,Alberta,Canada,2018
1920 29 ST SW HOUSING,196 DOVERGLEN CR SE,142,GJ,Calgary,Alberta,Canada,2018
#19-25 7000 RANCHERO RD NW HOUSING,200 DOVERGLEN CR SE,90,GJ,Calgary,Alberta,Canada,2018
194 & 196 DOVERGLEN CR SE HOUSING,19 ERIN GROVE CL SE,24,GJ,Calgary,Alberta,Canada,2018
198 & 200 DOVERGLEN CR SE HOUSING,19 RADCLIFFE CL SE,20,GJ,Calgary,Alberta,Canada,2018
19 ERIN GROVE CL SE HOUSING,19 RANCHERO GR NW,13,GJ,Calgary,Alberta,Canada,2018
19 RADCLIFFE CL SE HOUSING,#200 6704 6 ST SW,50,GJ,Calgary,Alberta,Canada,2018
19 RANCHERO GR NW HOUSING,#200 816 MCDOUGALL RD NE,58,GJ,Calgary,Alberta,Canada,2018
#200 6704 6 ST SW,2011 36 ST SE,43,GJ,Calgary,Alberta,Canada,2018
#200 816 MCDOUGALL RD NE HOUSING,204 DOVERGLEN CR SE,45,GJ,Calgary,Alberta,Canada,2018
2011 36 ST SE HOUSING,208 RADLEY PL SE,38,GJ,Calgary,Alberta,Canada,2018
202 & 204 DOVERGLEN CR SE HOUSING,#20-25 2730 19 AV SE,33,GJ,Calgary,Alberta,Canada,2018
202-208 RADLEY PL SE HOUSING,208 DOVERGLEN CR SE,44,GJ,Calgary,Alberta,Canada,2018
#20-25 2730 19 AV SE HOUSING,207 CEDARDALE RD SW,41,GJ,Calgary,Alberta,Canada,2018
206 & 208 DOVERGLEN CR SE HOUSING,207 ERIN MOUNT CR SE,21,GJ,Calgary,Alberta,Canada,2018
207 & 209 CEDARDALE RD SW HOUSING,207 FALDALE CL NE,31,GJ,Calgary,Alberta,Canada,2018
207 ERIN MOUNT CR SE HOUSING,208 ERIN CROFT CR SE,17,GJ,Calgary,Alberta,Canada,2018
207 FALDALE CL NE HOUSING,20 ERIN CROFT GR SE,19,GJ,Calgary,Alberta,Canada,2018
208 ERIN CROFT CR SE HOUSING,20 FALTON ME NE,14,GJ,Calgary,Alberta,Canada,2018
20 ERIN CROFT GR SE HOUSING,20 LINCOLN WY SW,17,GJ,Calgary,Alberta,Canada,2018
20 FALTON ME NE HOUSING,20 PENWORTH CL SE,11,GJ,Calgary,Alberta,Canada,2018
20 LINCOLN WY SW HOUSING,212 DOVERGLEN CR SE,285,GJ,Calgary,Alberta,Canada,2018
20 PENWORTH CL SE HOUSING,21 FALBURY CR NE,16,GJ,Calgary,Alberta,Canada,2018
210 & 212 DOVERGLEN CR SE HOUSING,2222 VERMILLION ST NE,22,GJ,Calgary,Alberta,Canada,2018
21 & 23 FALBURY CR NE HOUSING,24 CASTLEGLEN RD NE,27,GJ,Calgary,Alberta,Canada,2018
2222 VERMILLION ST NE HOUSING,22 CASTLEPARK WY NE,302,GJ,Calgary,Alberta,Canada,2018
22 & 24 CASTLEGLEN RD NE HOUSING,2226 30 ST SW,19,GJ,Calgary,Alberta,Canada,2018
22 & 24 CASTLEPARK WY NE HOUSING,2234 30 ST SW,27,GJ,Calgary,Alberta,Canada,2018
2226-2230 30 ST SW HOUSING,2240 30 ST SW,25,GJ,Calgary,Alberta,Canada,2018
2234-2238 30 ST SW HOUSING,225 14 AV SW,29,GJ,Calgary,Alberta,Canada,2018
2240 & 2242 30 ST SW HOUSING,230 5 AV SE,22,GJ,Calgary,Alberta,Canada,2018
225 14 AV SW HOUSING,27 DEERPOINT RD SE,90,GJ,Calgary,Alberta,Canada,2018
230 5 AV SE HOUSING & 433 MACLEOD TR SE HOUSING,236 RADLEY PL SE,1977,GJ,Calgary,Alberta,Canada,2018
23 & 27 DEERPOINT RD SE HOUSING,23 FALCHURCH PL NE,26,GJ,Calgary,Alberta,Canada,2018
236 RADLEY PL SE HOUSING,2431 39 ST SE,48,GJ,Calgary,Alberta,Canada,2018
23 FALCHURCH PL NE HOUSING,2443 48 ST SE,16,GJ,Calgary,Alberta,Canada,2018
2431 39 ST SE HOUSING,2444 47 ST SE,23,GJ,Calgary,Alberta,Canada,2018
2441-2445 48 ST SE HOUSING,247 PENSVILLE CL SE,47,GJ,Calgary,Alberta,Canada,2018
2442 & 2444 47 ST SE HOUSING,249 ABALONE PL NE,24,GJ,Calgary,Alberta,Canada,2018
247 PENSVILLE CL SE HOUSING,2513 14 AV SE,12,GJ,Calgary,Alberta,Canada,2018
249 & 251 ABALONE PL NE HOUSING,2712 41 ST SE,22,GJ,Calgary,Alberta,Canada,2018
2513 14 AV SE HOUSING,2804 13 AV SE,39,GJ,Calgary,Alberta,Canada,2018
2712 41 ST SE HOUSING,4303 DOVERWOOD PL SE,20,GJ,Calgary,Alberta,Canada,2018
2804 13 AV SE HOUSING,281 PENSVILLE CL SE,67,GJ,Calgary,Alberta,Canada,2018
2804 41 ST SE HOUSING,28 ABINGDON CO NE,19,GJ,Calgary,Alberta,Canada,2018
281 PENSVILLE CL SE HOUSING,28 FALTON RI NE,13,GJ,Calgary,Alberta,Canada,2018
28 ABINGDON CO NE HOUSING,28 FONDA DR SE,12,GJ,Calgary,Alberta,Canada,2018
28 FALTON RI NE HOUSING,28 RADCLIFFE CO SE,19,GJ,Calgary,Alberta,Canada,2018
28 FONDA DR SE HOUSING,29 TEMPLETON BA NE,81,GJ,Calgary,Alberta,Canada,2018
28 RADCLIFFE CO SE HOUSING,29 ERIN RIDGE RD SE,44,GJ,Calgary,Alberta,Canada,2018
29 & 31 TEMPLETON BA NE HOUSING,3004 29A ST SE,34,GJ,Calgary,Alberta,Canada,2018
29 ERIN RIDGE RD SE HOUSING,3005 30A ST SE,14,GJ,Calgary,Alberta,Canada,2018
3004 29A ST SE HOUSING,3007 28A ST SE,19,GJ,Calgary,Alberta,Canada,2018
3005 30A ST SE HOUSING,3008 29A ST SE,13,GJ,Calgary,Alberta,Canada,2018
3007 28A ST SE HOUSING,3011 32A ST SE,24,GJ,Calgary,Alberta,Canada,2018
3008 29A ST SE HOUSING,3009 30A ST SE,19,GJ,Calgary,Alberta,Canada,2018
3009 & 3011 32A ST SE HOUSING,3012 33A ST SE,28,GJ,Calgary,Alberta,Canada,2018
3009 30A ST SE HOUSING,3011 28A ST SE,15,GJ,Calgary,Alberta,Canada,2018
3010 & 3012 33A ST SE HOUSING,3011 30A ST SE,24,GJ,Calgary,Alberta,Canada,2018
3011 28A ST SE HOUSING,3012 29A ST SE,17,GJ,Calgary,Alberta,Canada,2018
3011 30A ST SE HOUSING,303 FALCONRIDGE CR NE,31,GJ,Calgary,Alberta,Canada,2018
3012 29A ST SE HOUSING,3013 28A ST SE,35,GJ,Calgary,Alberta,Canada,2018
301-313 FALCONRIDGE CR NE HOUSING,3015 32A ST SE,67,GJ,Calgary,Alberta,Canada,2018
3013 28A ST SE HOUSING,3014 29A ST SE,39,GJ,Calgary,Alberta,Canada,2018
3013 & 3015 32A ST SE HOUSING,3016 33A ST SE,30,GJ,Calgary,Alberta,Canada,2018
3014 29A ST SE HOUSING,3016 23 AV SW,29,GJ,Calgary,Alberta,Canada,2018
3014 & 3016 33A ST SE HOUSING,3019 32A ST SE,31,GJ,Calgary,Alberta,Canada,2018
3016-3028 23 AV SW HOUSING,3017 30A ST SE,46,GJ,Calgary,Alberta,Canada,2018
3017 & 3019 32A ST SE HOUSING,3020 33A ST SE,32,GJ,Calgary,Alberta,Canada,2018
3017 30A ST SE HOUSING,3019 28A ST SE,31,GJ,Calgary,Alberta,Canada,2018
3018 & 3020 33A ST SE HOUSING,3020 29A ST SE,28,GJ,Calgary,Alberta,Canada,2018
3019 28A ST SE HOUSING,3021 30A ST SE,39,GJ,Calgary,Alberta,Canada,2018
3020 29A ST SE HOUSING,30 TEMPLEBY WY NE,34,GJ,Calgary,Alberta,Canada,2018
3021 30A ST SE HOUSING,#30-35 2730 19 AV SE,41,GJ,Calgary,Alberta,Canada,2018
30 & 32 TEMPLEBY WY NE HOUSING,303 57 AV SW,30,GJ,Calgary,Alberta,Canada,2018
#30-35 2730 19 AV SE HOUSING,308 15 AV NE,41,GJ,Calgary,Alberta,Canada,2018
303 57 AV SW HOUSING,315 WHITLOCK WY NE,932,GJ,Calgary,Alberta,Canada,2018
308 15 AV NE HOUSING,31 DEERPOINT RD SE,112,GJ,Calgary,Alberta,Canada,2018
313 & 315 WHITLOCK WY NE HOUSING,315 FALCONRIDGE CR NE,28,GJ,Calgary,Alberta,Canada,2018
31 & 35 DEERPOINT RD SE HOUSING,316 20 AV SW,35,GJ,Calgary,Alberta,Canada,2018
315-325 FALCONRIDGE CR NE HOUSING,321 WHITLOCK WY NE,59,GJ,Calgary,Alberta,Canada,2018
316 20 AV SW HOUSING,31 FAY RD SE,205,GJ,Calgary,Alberta,Canada,2018
319 & 321 WHITLOCK WY NE HOUSING,3202 30A AV SE,25,GJ,Calgary,Alberta,Canada,2018
31 FAY RD SE HOUSING,3202 32A AV SE,19,GJ,Calgary,Alberta,Canada,2018
3202 30A AV SE HOUSING,3203 33A AV SE,11,GJ,Calgary,Alberta,Canada,2018
3202 32A AV SE HOUSING,3206 32A AV SE,18,GJ,Calgary,Alberta,Canada,2018
3203 33A AV SE HOUSING,3207 31A AV SE,13,GJ,Calgary,Alberta,Canada,2018
3206 32A AV SE HOUSING,3207 33A AV SE,14,GJ,Calgary,Alberta,Canada,2018
3207 31A AV SE HOUSING,3208 32A AV SE,23,GJ,Calgary,Alberta,Canada,2018
3207 33A AV SE HOUSING,3209 31A AV SE,13,GJ,Calgary,Alberta,Canada,2018
3208 32A AV SE HOUSING,3211 33A AV SE,35,GJ,Calgary,Alberta,Canada,2018
3209 & 3211 31A AV SE HOUSING,3212 32A AV SE,20,GJ,Calgary,Alberta,Canada,2018
3211 33A AV SE HOUSING,3213 33A AV SE,34,GJ,Calgary,Alberta,Canada,2018
3212 32A AV SE HOUSING,3213A 31A AV SE,29,GJ,Calgary,Alberta,Canada,2018
3213 33A AV SE HOUSING,3215 31A AV SE,22,GJ,Calgary,Alberta,Canada,2018
3213A & 3213B 31A AV SE HOUSING,3216 30A AV SE,21,GJ,Calgary,Alberta,Canada,2018
3215 & 3217 31A AV SE HOUSING,3216 32A AV SE,19,GJ,Calgary,Alberta,Canada,2018
3216 30A AV SE HOUSING,3217 33A AV SE,37,GJ,Calgary,Alberta,Canada,2018
3216 32A AV SE HOUSING,3219 31A AV SE,41,GJ,Calgary,Alberta,Canada,2018
3217 33A AV SE HOUSING,3222 30A AV SE,36,GJ,Calgary,Alberta,Canada,2018
3219 31A AV SE HOUSING,3229 56 ST NE,36,GJ,Calgary,Alberta,Canada,2018
3222 30A AV SE HOUSING,325 10 ST NW,16,GJ,Calgary,Alberta,Canada,2018
3229 56 ST NE HOUSING,327 FALCONRIDGE CR NE,176,GJ,Calgary,Alberta,Canada,2018
325 10 ST NW HOUSING,327 FALSHIRE DR NE,589,GJ,Calgary,Alberta,Canada,2018
327-339 FALCONRIDGE CR NE HOUSING,32 RADCLIFFE CO SE,76,GJ,Calgary,Alberta,Canada,2018
327 FALSHIRE DR NE HOUSING,330 2 AV NE,23,GJ,Calgary,Alberta,Canada,2018
32 RADCLIFFE CO SE HOUSING,333 17 AV NW,28,GJ,Calgary,Alberta,Canada,2018
330 2 AV NE HOUSING,339 FALSHIRE WY NE,253,GJ,Calgary,Alberta,Canada,2018
333 17 AV NW HOUSING,3401 CENTRE ST NW,213,GJ,Calgary,Alberta,Canada,2018
339 FALSHIRE WY NE HOUSING,343 WHITLOCK WY NE,16,GJ,Calgary,Alberta,Canada,2018
3401 CENTRE ST NW HOUSING,36 FALMEAD BA NE,66,GJ,Calgary,Alberta,Canada,2018
341 & 343 WHITLOCK WY NE HOUSING,3454 30A AV SE,24,GJ,Calgary,Alberta,Canada,2018
34 & 36 FALMEAD BA NE HOUSING,3456 30A AV SE,23,GJ,Calgary,Alberta,Canada,2018
3454 30A AV SE HOUSING,3456 32A AV SE,20,GJ,Calgary,Alberta,Canada,2018
3456 30A AV SE HOUSING,3461 31A AV SE,27,GJ,Calgary,Alberta,Canada,2018
3456 32A AV SE HOUSING,3461 33A AV SE,28,GJ,Calgary,Alberta,Canada,2018
3461 31A AV SE HOUSING,3462 30A AV SE,37,GJ,Calgary,Alberta,Canada,2018
3461 33A AV SE HOUSING,3462 32A AV SE,27,GJ,Calgary,Alberta,Canada,2018
3462 30A AV SE HOUSING,3463 33A AV SE,33,GJ,Calgary,Alberta,Canada,2018
3462 32A AV SE HOUSING,3466 30 AV SE,43,GJ,Calgary,Alberta,Canada,2018
3463 33A AV SE HOUSING,3464 32A AV SE,28,GJ,Calgary,Alberta,Canada,2018
3466 30A AV SE HOUSING,3467 31A AV SE,38,GJ,Calgary,Alberta,Canada,2018
3466 32A AV SE HOUSING,3469 33A AV SE,27,GJ,Calgary,Alberta,Canada,2018
3467 31A AV SE HOUSING,3470 30A AV SE,42,GJ,Calgary,Alberta,Canada,2018
3469 33A AV SE HOUSING,3473 33A AV SE,31,GJ,Calgary,Alberta,Canada,2018
3470 30A AV SE HOUSING,3474 30A AV SE,16,GJ,Calgary,Alberta,Canada,2018
3473 33A AV SE HOUSING,3477 33A AV SE,15,GJ,Calgary,Alberta,Canada,2018
3474 30A AV SE HOUSING,34 ERIN RIDGE PL SE,14,GJ,Calgary,Alberta,Canada,2018
3477 33A AV SE HOUSING,3534 CEDARILLE DR SW,16,GJ,Calgary,Alberta,Canada,2018
34 ERIN RIDGE PL SE HOUSING,3542 CEDARILLE DR SW,9,GJ,Calgary,Alberta,Canada,2018
3534 & 3536 CEDARILLE DR SW HOUSING,3546 CEDARILLE DR SW,39,GJ,Calgary,Alberta,Canada,2018
3542 & 3544 CEDARILLE DR SW HOUSING,359 WHITLOCK WY NE,26,GJ,Calgary,Alberta,Canada,2018
3546 & 3548 CEDARILLE DR SW HOUSING,3601 28 AV SE,36,GJ,Calgary,Alberta,Canada,2018
357 & 359 WHITLOCK WY NE HOUSING,3605 28 AV SE,29,GJ,Calgary,Alberta,Canada,2018
3601 & 3603 28 AV SE HOUSING,3609 28 AV SE,24,GJ,Calgary,Alberta,Canada,2018
3605 & 3607 28 AV SE HOUSING,3610 CEDARILLE DR SW,27,GJ,Calgary,Alberta,Canada,2018
3609 & 3611 28 AV SE HOUSING,3613 28 AV SE,23,GJ,Calgary,Alberta,Canada,2018
3610 & 3612 CEDARILLE DR SW HOUSING,3617 28 AV SE,22,GJ,Calgary,Alberta,Canada,2018
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,20,GJ,Calgary,Alberta,Canada,2018
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,25,GJ,Calgary,Alberta,Canada,2018
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,18,GJ,Calgary,Alberta,Canada,2018
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,21,GJ,Calgary,Alberta,Canada,2018
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,23,GJ,Calgary,Alberta,Canada,2018
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,21,GJ,Calgary,Alberta,Canada,2018
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,11,GJ,Calgary,Alberta,Canada,2018
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,58,GJ,Calgary,Alberta,Canada,2018
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,11,GJ,Calgary,Alberta,Canada,2018
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,58,GJ,Calgary,Alberta,Canada,2018
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,26,GJ,Calgary,Alberta,Canada,2018
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,36,GJ,Calgary,Alberta,Canada,2018
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,23,GJ,Calgary,Alberta,Canada,2018
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,16,GJ,Calgary,Alberta,Canada,2018
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,41,GJ,Calgary,Alberta,Canada,2018
4012 WORCESTER DR SW HOUSING,40 38A AV SW,48,GJ,Calgary,Alberta,Canada,2018
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,37,GJ,Calgary,Alberta,Canada,2018
40 38A AV SW HOUSING,411 14 ST NW,332,GJ,Calgary,Alberta,Canada,2018
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,44,GJ,Calgary,Alberta,Canada,2018
411 14 ST NW HOUSING,419 ABADAN PL NE,949,GJ,Calgary,Alberta,Canada,2018
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,27,GJ,Calgary,Alberta,Canada,2018
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,12,GJ,Calgary,Alberta,Canada,2018
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,168,GJ,Calgary,Alberta,Canada,2018
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,23,GJ,Calgary,Alberta,Canada,2018
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,23,GJ,Calgary,Alberta,Canada,2018
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,21,GJ,Calgary,Alberta,Canada,2018
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,20,GJ,Calgary,Alberta,Canada,2018
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,22,GJ,Calgary,Alberta,Canada,2018
4314 DOVERWOOD PL SE HOUSING,4318 DOVERWOOD PL SE,15,GJ,Calgary,Alberta,Canada,2018
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,17,GJ,Calgary,Alberta,Canada,2018
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,25,GJ,Calgary,Alberta,Canada,2018
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,27,GJ,Calgary,Alberta,Canada,2018
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,18,GJ,Calgary,Alberta,Canada,2018
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
4325 & 4327 BOWNESS RD NW HOUSING,4326 DOVERWOOD PL SE,23,GJ,Calgary,Alberta,Canada,2018
4325 DOVERWOOD PL SE HOUSING,4331 WHITEHORN DR NE,27,GJ,Calgary,Alberta,Canada,2018
4326 DOVERWOOD PL SE HOUSING,4332 DOVERWOOD PL SE,22,GJ,Calgary,Alberta,Canada,2018
